"","batID","mass.deploy","mass.recover","forearm","winglen.mm"
"1","X71A111A",109,98,90.8,296.863
"3","X74DE9A7",122,NA,91.5,274.95
"4","X74DDA80",123,121,91.2,278.4436659
"5","X2016030703",134,137,93.5,271.96
"7","X74D8954",128,122,93.02,317.169
"8","X71A0D95",122,123,89.9,282.74
"11","X74F7D4C",137,130,93.2,277.115
"12","X74DA92F",109,106,87.6,250.071
"13","X74DCBCC",114,NA,89.7,289.262
"14","X74D8C25",131,128,93.2,308.25
"15","X2016030705",124,118,87.8,280.82
"19","X74DCA83",123,123,92.1,300.314
"20","X74D932E",116,118,93.6,304.29
"22","X74DE4E7",124,NA,94.2,296.1096
"23","X74F9F83",116,NA,92,284.51
"24","X74F8E19",113,113,91.7,289.3811
"25","X74FE24E",113,108,91.7,270.5
"28","X74DAF9C",128,121,94.4,287.088
