Harem,capture.date,bat1D,Status,mass.g,H2Oin.ulDay,H2Oout.ulDay,FMR.mlco2gh,dee.kJday,lines.out,totalscale,mins.out
Pink,14-Jan-85,P55,Harem female,75.5,397,401,2.55,109.5,NA,NA,NA
Pink,14-Jan-85,P64,Harem male,82.5,569,569,3.73,175,NA,NA,NA
Pink,14-Jan-85,P65,Harem female,77,532,532,3.59,157.2,NA,NA,NA
Pink,14-Jan-85,P67,Harem female,72,573,573,3.58,146.6,NA,NA,NA
Pink,14-Jan-85,P69,Harem female,70.5,655,655,3.45,138.4,NA,NA,NA
Red,7-Jan-87,R3,Harem female,72.3,652.9,675.5,3.97,163.2,NA,NA,NA
Red,7-Jan-87,R5,Harem female,80,307.1,331.5,2.72,123.5,NA,NA,NA
Red,7-Jan-87,R6,Harem female,75.8,352.7,373.5,2.74,118.2,139,770,148.6527778
Red,7-Jan-87,R8,Harem female,80.8,852.6,865.4,5.53,253.9,212,770,226.7222222
Red,7-Jan-87,R9,Subadult male,75.5,162.5,180.4,1.87,76.5,NA,NA,NA
Red,7-Jan-87,R1,Harem female,81.5,485.8,502.1,2.88,133.3,NA,NA,NA
Red,7-Jan-87,R13,Harem female,70.7,403.9,441.4,2.87,115.3,NA,NA,NA
Red,7-Jan-87,R16,Harem male,88,441.8,438.1,2.8,140.3,91,770,97.31944444
Red,7-Jan-87,Rll,Harem female,70.3,608.1,623.2,4.06,162.2,NA,NA,NA
Red,8-Jan-87,R3,Harem female,70.3,254.6,268.7,2.2,87.7,NA,NA,NA
Red,8-Jan-87,R5,Harem female,77.5,299.7,316.5,2.15,94.8,NA,NA,NA
Red,8-Jan-87,R9,Subadult male,73.5,209.5,228.4,1.98,82.9,NA,NA,NA
Red,8-Jan-87,R13,Harem female,67.9,458.3,475.9,2.88,111.1,NA,NA,NA
Red,8-Jan-87,R16,Harem male,86.8,512.6,523.9,3.255,160.6,NA,NA,NA
Red,13-Jan-87,R16,Harem male,88,618.3,610.4,3.99,199.7,103,770,110.1527778
Red,14-Jan-87,R16,Harem male,87.8,666.9,678.5,4.19,209.2,161,720,161
Yellow,13-Jan-87,Y51,Harem female,77,420.9,454.6,2.97,130.2,227,778,245.2861111
Yellow,13-Jan-87,Y53,Harem female,79.5,341,373.5,2.52,114.1,166,781,180.0638889
Yellow,13-Jan-87,Y54,Harem female,69.8,253.7,285.5,2.34,92.8,102,779,110.3583333
Yellow,13-Jan-87,Y56,Harem female,73.3,370,401.6,2.37,98.2,164,780,177.6666667
Yellow,14-Jan-87,Y51,Harem female,72.8,153.5,194.8,1.27,52.4,210,783,228.375
Yellow,14-Jan-87,Y52,Harem male,91.3,691,687.7,2.44,126.8,161,786,175.7583333
Yellow,14-Jan-87,Y53,Harem female,76.5,409.3,427.3,2.83,123.3,152,789,166.5666667
Yellow,14-Jan-87,Y54,Harem female,67.8,490,496,2.93,112.9,159,785,173.3541667
Yellow,14-Jan-87,Y56,Harem female,71.8,530,524.2,2.63,107.4,265,789,290.3958333
